"Achacollo"
"Chullqiwanka"
"Chullqiwillka"
"Chuqi"
"Chuqichampi"
"Chuqimamani"
"Chuqitaxsi"
"Chuqiwanka"
"Chuqiwillka"
"Chuqui"
"Chuquichampi"
"Chuquimamani"
"Chuquimia"
"Chuquimiya"
"Chuquiwanca"
"Chuquiwillca"
"Chura"
"Churata"
"Churatupa"
"Churki"
"Churqui"
"Chuwi"
"Coaquira"
"Collo"
"Colque"
"Colquehuanca"
"Condori"
"Copa"
"Copani"
"Cori"
"Corihuanca"
"Cuno"
"Cunturi"
"Cupa"
"Cusi"
"Cusicanqui"
"Cutili"
"Cutipa"
"Cuwaquira"
"Guachalla"
"Guampu"
"Guarachi"
"Guaraco"
"Guaracusi"
"Guaranca"
"Guaycho"
"Guaygua"
"Guaylla"
"Guayta"
"Huallpa"
"Huanapaco"
"Huanca"
"Huanquilla"
"Huanquiri"
"Huarahuara"
"Huari"
"Huayna"
"Ichuta"
"Ilaquita"
"Ilave"
"Ilawi"
"Illa"
"Illatarcu"
"Illatarqui"
"Imana"
"Inca"
"Incapoma"
"Incapuma"
"Incaroca"
"Incaruca"
"Inka"
"Inkapuma"
"Inkaruka"
"Inti"
"Intimayta"
"Jachakollu"
"Jachaqullu"
"Jalanoka"
"Jalanuqa"
"Jalaro"
"Jalaru"
"Jalja"
"Jamachi"
"Janco"
"Janko"
"Janqu"
"Jarancaya"
"Jarankaya"
"Jilawi"
"Kachi"
"Kachikatari"
"Kalamana"
"Kalani"
"Kalapari"
"Kallari"
"Kalli"
"Kallisaya"
"Kallu"
"Kanasa"
"Kanke"
"Kanki"
"Kankichuqi"
"Kanllawa"
"Kantuta"
"Karani"
"Katari"
"Katunta"
"Kawana"
"Kawaya"
"Kawna"
"Kekesana"
"Kellka"
"Kenallata"
"Kenta"
"Kesu"
"Kesukala"
"Khanawiri"
"Khari"
"Khespi"
"Khunu"
"Kinu"
"Kisuqala"
"Kollke"
"Kollkewanca"
"Kollu"
"Kopa"
"Kopani"
"Kori"
"Koriwanca"
"Kunturi"
"Kupa"
"Kusi"
"Kusikanki"
"Kutili"
"Kutipa"
"Laime"
"Lajruta"
"Larico"
"Laricu"
"Lariku"
"Laruta"
"Laura"
"Lawra"
"Laymi"
"Limachi"
"Llanke"
"Llankechoke"
"Llanqi"
"Llanqichuqi"
"Llanque"
"Llanquechoque"
"Llusco"
"Lluscu"
"Llusku"
"Lucana"
"Lukana"
"Machaca"
"Machaka"
"Machaqa"
"Magno"
"Maita"
"Majnu"
"Mamani"
"Marca"
"Marcani"
"Marka"
"Markani"
"Mayta"
"Mita"
"Mollo"
"Mullu"
"Nina"
"Ninakhespi"
"Ninaqhispi"
"Ninaquispe"
"Pacari"
"Pachacuti"
"Pachakuti"
"Paco"
"Pacohuanca"
"Pacosillo"
"Pacsi"
"Pacsipati"
"Paillo"
"Pakari"
"Pako"
"Pakosillu"
"Pakowanca"
"Pancara"
"Pankara"
"Panqara"
"Panti"
"Paqari"
"Paqu"
"Paqusillu"
"Paquwanka"
"Pari"
"Pati"
"Paticallisaya"
"Paucara"
"Paucarmayta"
"Paulo"
"Pawkara"
"Pawkarmayta"
"Pawllu"
"Pawqara"
"Pawqarmayta"
"Payi"
"Payllu"
"Perca"
"Perka"
"Phajjsi"
"Phajjsiphati"
"Phati"
"Phatikallisaya"
"Phaxsi"
"Phaxsiphati"
"Phokata"
"Phuqata"
"Pilco"
"Pillko"
"Pillqu"
"Pirqa"
"Pocoata"
"Poma"
"Pomacusi"
"Posada"
"Puma"
"Pumacusi"
"Pumakusi"
"Pusari"
"Qalamana"
"Qalani"
"Qalapari"
"Qallari"
"Qalli"
"Qallisaya"
"Qallu"
"Qanqi"
"Qantuta"
"Qarani"
"Qatari"
"Qawana"
"Qawaya"
"Qhanasa"
"Qhanawiri"
"Qhispi"
"Qhunu"
"Qillqa"
"Qinallata"
"Qinta"
"Qiqisana"
"Qisu"
"Qisuqala"
"Quelca"
"Quenallata"
"Quenta"
"Quequesana"
"Queso"
"Quesocala"
"Quino"
"Quinu"
"Quisicala"
"Quispe"
"Quisukala"
"Qullqi"
"Qullqiwanka"
"Qullu"
"Qupa"
"Qupani"
"Quri"
"Quriwanka"
"Quwakira"
"Saigua"
"Saire"
"Sanca"
"Sanka"
"Sapana"
"Sarsuri"
"Sawalla"
"Sayri"
"Saywa"
"Sibayro"
"Sinchiroca"
"Sinchiruca"
"Sinchiruka"
"Siripaca"
"Siripaka"
"Sirpa"
"Sisa"
"Siwayru"
"Sucso"
"Sujjsu"
"Sullcani"
"Sullcata"
"Sullkani"
"Sullkata"
"Sunahua"
"Sunawa"
"Suxsu"
"Taca"
"Taka"
"Tancara"
"Tankara"
"Tanqara"
"Tarki"
"Tarqui"
"Ticona"
"Ticonipa"
"Ticuna"
"Ticunipa"
"Tikuna"
"Tikunipa"
"Tintaya"
"Titatawchi"
"Titirico"
"Titiricu"
"Titiriku"
"Tito"
"Titoatahuichi"
"Titu"
"Tola"
"Tonconi"
"Tonkoni"
"Tula"
"Tunki"
"Tunqui"
"Tunquni"
"Ulo"
"Ulu"
"Urisaca"
"Urisaka"
"Uruchi"
"Uruna"
"Uscamayta"
"Uskamayta"
"Usnayo"
"Usnayu"
"Uyardo"
"Uyartu"
"Villca"
"Wachalla"
"Wallpa"
"Wampu"
"Wanapako"
"Wanapaqu"
"Wanca"
"Wanka"
"Wankilla"
"Wankiri"
"Wanquilla"
"Wanquiri"
"Warachi"
"Waracusi"
"Warako"
"Warakusi"
"Waranka"
"Waranqa"
"Waraqu"
"Warawara"
"Wari"
"Waychu"
"Waylla"
"Wayna"
"Wayta"
"Waywa"
"Willca"
"Willka"
"Yampa"
"Yana"
"Yanpa"
"Yapita"
"Yucra"
"Yujra"
"Yupanki"
"Yupanqui"
"Zaballa"
"Zapana"
